time_s,time_us,time_steady,noise_per_ms,agc_cnt,a_status,a_power,jam_ind,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909110,934000,2455751,95,4250,2,1,96,223,11,0,2022-07-04T07:31:50,-255,-4.2344333333333335,1656909119.9813728,2022-07-04T07:31:59,-255222,-4.2537,96.37658515612614
1656909135,937000,2480754,88,4250,2,1,95,171,11,0,2022-07-04T07:32:15,-230,-3.8177166666666666,1656909144.7200599,2022-07-04T07:32:24,-230219,-3.8369833333333334,96.60272870942264
1656909142,918000,2487735,107,5100,2,1,32,115,11,0,2022-07-04T07:32:22,-223,-3.7013666666666665,1656909155.177269,2022-07-04T07:32:35,-223238,-3.7206333333333332,97.39622385518643
1656909171,896000,2516713,87,4420,2,1,111,162,11,0,2022-07-04T07:32:51,-194,-3.2184000000000004,1656909179.7533839,2022-07-04T07:32:59,-194260,-3.2376666666666667,97.13382454307444
1656909183,932000,2528749,103,5100,2,1,35,250,11,0,2022-07-04T07:33:03,-182,-3.0178000000000003,1656909193.244452,2022-07-04T07:33:13,-182224,-3.0370666666666666,97.05568906031588
1656909191,927000,2536744,100,4080,2,1,79,223,11,0,2022-07-04T07:33:11,-174,-2.88455,1656909203.86862,2022-07-04T07:33:23,-174229,-2.9038166666666667,96.36593897683167
1656909201,904000,2546721,92,4420,2,1,112,253,11,0,2022-07-04T07:33:21,-164,-2.7182666666666666,1656909213.2720559,2022-07-04T07:33:33,-164252,-2.7375333333333334,96.84433625621952
1656909217,931000,2562747,97,4420,2,1,117,187,11,0,2022-07-04T07:33:37,-148,-2.4511499999999997,1656909227.7077599,2022-07-04T07:33:47,-148226,-2.4704333333333333,96.20438369033774
1656909229,900000,2574717,88,4930,2,1,34,16,11,0,2022-07-04T07:33:49,-136,-2.2516666666666665,1656909238.1915479,2022-07-04T07:33:58,-136256,-2.2709333333333332,96.33312554921322
1656909242,938000,2587754,110,4930,2,1,19,133,11,0,2022-07-04T07:34:02,-123,-2.0343666666666667,1656909252.0898728,2022-07-04T07:34:12,-123219,-2.0536499999999998,97.61377479530033
1656909254,898000,2599714,84,4930,2,1,36,220,11,0,2022-07-04T07:34:14,-111,-1.8350333333333333,1656909262.715509,2022-07-04T07:34:22,-111259,-1.8543166666666666,97.06753445876866
1656909290,939000,2635755,91,4080,2,1,82,212,11,0,2022-07-04T07:34:50,-75,-1.23435,1656909297.169889,2022-07-04T07:34:57,-75218,-1.2536333333333334,97.1818618774414
1656909345,931000,2690747,88,4760,2,1,34,236,11,0,2022-07-04T07:35:45,-20,-0.31781666666666664,1656909354.12286,2022-07-04T07:35:54,-20226,-0.3371,98.36074012423644
1656909357,952000,2702767,106,4080,2,1,80,68,11,0,2022-07-04T07:35:57,-8,-0.11746666666666666,1656909364.351548,2022-07-04T07:36:04,-8206,-0.13676666666666665,97.60189056396484
